customer_id,transaction_id,amount,merchant_id,timestamp,channel,is_fraud,location_lat,location_lon,device_type,payment_method,merchant_category,user_age,account_age_days,_bronze_id,_ingestion_timestamp,_ingestion_method,_schema_version,is_high_value,is_weekend,transaction_hour,is_business_hours,_quality_score
a5928ac0-9c34-42f8-a5a8-cccca44e5c2d,fd5d5ced-014b-46c7-a2d2-e4a4c081044f,153.92,merchant_6,2025-02-26T20:46:32,in-store,False,33.394508,-74.188744,tablet,credit_card,gas,26,2002,dcdf8416-3715-43db-846f-e81bc10cff0c,2025-07-11 12:15:11.617959,batch_ingestion,v1.0,False,False,20,False,1.0
a4d0520b-c197-42ec-84c4-f5471e78feb5,d086dd43-1efb-4a79-81d2-90aa1d48ab14,888.13,merchant_35,2024-09-04T22:03:15,in-store,True,40.299816,-75.354735,mobile,debit_card,gas,19,1772,dcdf8416-3715-43db-846f-e81bc10cff0c,2025-07-11 12:15:11.617959,batch_ingestion,v1.0,False,False,22,False,1.0
5d132026-1d16-4760-92b8-71a5b3b5a059,fa05a5b8-c96e-4c1d-b59a-f11fd4d57ab6,64.18,merchant_93,2024-10-06T01:15:11,in-store,True,36.782226,-81.517416,mobile,paypal,gas,34,1197,dcdf8416-3715-43db-846f-e81bc10cff0c,2025-07-11 12:15:11.617959,batch_ingestion,v1.0,False,True,1,False,1.0
b3f55176-3e04-403f-8879-3d9a7cc072da,31240e6e-0f95-4671-9c3b-2217bd5b11c0,924.54,merchant_96,2024-10-06T05:01:38,mobile,True,31.63491,-110.186541,tablet,paypal,restaurant,72,3034,dcdf8416-3715-43db-846f-e81bc10cff0c,2025-07-11 12:15:11.617959,batch_ingestion,v1.0,False,True,5,False,1.0
cf052805-5eae-4f03-9bfe-1d52472dc00a,2d852526-d1ce-4538-99d9-282931af256a,249.37,merchant_93,2025-05-15T22:59:38,in-store,False,38.457048,-99.757082,mobile,paypal,retail,48,2064,dcdf8416-3715-43db-846f-e81bc10cff0c,2025-07-11 12:15:11.617959,batch_ingestion,v1.0,False,False,22,False,1.0
44878c00-1413-44b6-a019-69159b8ecf5d,82088e1e-908f-4c6c-a9b6-1b24ba9d4f8e,521.62,merchant_26,2024-11-04T17:43:33,online,False,39.610989,-85.702929,desktop,debit_card,retail,39,1372,dcdf8416-3715-43db-846f-e81bc10cff0c,2025-07-11 12:15:11.617959,batch_ingestion,v1.0,False,False,17,True,1.0
a5a1a479-2075-44af-a5b0-24323a08b1c0,6fddbec6-ff88-4a23-8cde-0c16ff2d44a2,15.23,merchant_100,2024-10-25T23:17:39,online,True,38.698687,-81.388027,tablet,debit_card,retail,49,3305,dcdf8416-3715-43db-846f-e81bc10cff0c,2025-07-11 12:15:11.617959,batch_ingestion,v1.0,False,False,23,False,1.0
27fcabcf-7c76-4851-8f4f-d75622260958,8713a023-26e0-4056-88b4-3e7a94c8e9c8,665.28,merchant_76,2024-08-04T15:23:24,mobile,True,44.699098,-74.177303,mobile,credit_card,restaurant,71,1748,dcdf8416-3715-43db-846f-e81bc10cff0c,2025-07-11 12:15:11.617959,batch_ingestion,v1.0,False,True,15,True,1.0
5d935aa0-e88d-47e3-ae1d-79ef8a3b7822,1aa09d2f-c7dc-4802-9902-14fe31a4b7a4,522.94,merchant_31,2025-05-13T09:18:57,online,False,41.189689,-122.018169,desktop,credit_card,grocery,56,1764,dcdf8416-3715-43db-846f-e81bc10cff0c,2025-07-11 12:15:11.617959,batch_ingestion,v1.0,False,False,9,True,1.0
a92dbf39-4af4-4f30-b4e0-3cc67bd9f83b,58b80050-33be-43b7-bdd3-ea4b74c82555,691.34,merchant_22,2025-04-28T19:54:28,in-store,False,40.673242,-101.435987,mobile,paypal,gas,55,1068,dcdf8416-3715-43db-846f-e81bc10cff0c,2025-07-11 12:15:11.617959,batch_ingestion,v1.0,False,False,19,False,1.0
dfb83212-0943-48e4-a9c8-519de0dd13d5,23927d6c-683d-4e54-8336-186670922b8f,701.44,merchant_44,2024-09-19T04:49:08,in-store,False,26.478488,-77.081196,mobile,debit_card,grocery,50,1581,dcdf8416-3715-43db-846f-e81bc10cff0c,2025-07-11 12:15:11.617959,batch_ingestion,v1.0,False,False,4,False,1.0
8974d50d-4930-46d2-8d5b-60c26da92a62,7aa2ea33-99c2-4d6f-9bff-d8aa5349cc2f,568.41,merchant_75,2025-04-03T08:25:49,mobile,False,25.146196,-113.65274,desktop,credit_card,restaurant,41,2314,dcdf8416-3715-43db-846f-e81bc10cff0c,2025-07-11 12:15:11.617959,batch_ingestion,v1.0,False,False,8,False,1.0
