transaction_id,customer_id,amount,transaction_timestamp,channel,merchant_category,device_trust_score,ip_risk_score,transaction_hour,is_weekend,is_chargeback,is_refund,cvv_match,avs_match,is_actual_fraud,merchant_id
TXN_00000000,CUST_001828,9.93,2025-05-13 22:57:41.108054,in-store,travel,0.750385467699684,0.3467089739962414,22,False,False,False,False,True,False,MERCH_9386
TXN_00000001,CUST_000676,26.82,2025-05-26 06:47:25.109056,mobile,pharmacy,0.7608546043286384,0.3604224764067233,6,False,False,False,True,False,False,MERCH_9886
TXN_00000002,CUST_001121,5.0,2025-07-06 09:12:48.113056,mobile,pharmacy,0.5707012383890065,0.23018912095643518,9,True,False,False,True,True,False,MERCH_1568
TXN_00000003,CUST_000059,95.45,2025-07-03 19:16:36.114055,online,electronics,0.455085234396495,0.032784551430234954,19,False,False,False,True,True,False,MERCH_1218
TXN_00000004,CUST_000259,25.92,2025-06-05 11:53:11.115056,in-store,utilities,0.9026104345901846,0.39746573924114426,11,False,False,False,True,True,False,MERCH_9074
TXN_00000005,CUST_001604,170.98,2025-07-08 09:51:03.117056,in-store,gas,0.5502164514389449,0.28335183717945345,9,False,False,False,False,False,False,MERCH_7166
TXN_00000006,CUST_001059,214.86,2025-06-12 02:46:21.119058,online,grocery,0.48293124527785686,0.30934359925751775,2,False,False,False,True,True,False,MERCH_3076
TXN_00000007,CUST_001917,134.65,2025-06-22 11:00:11.120058,in-store,utilities,0.9554830797596392,0.40828340917813793,11,True,False,False,True,False,False,MERCH_1889
TXN_00000008,CUST_000565,116.2,2025-07-01 20:49:09.121058,online,retail,0.5953318112553904,0.005727320132649649,20,False,False,False,False,False,False,MERCH_9166
TXN_00000009,CUST_001914,196.59,2025-05-17 18:45:41.122057,in-store,electronics,0.7946000722986684,0.33297345130120654,18,True,False,False,True,True,False,MERCH_8840
TXN_00000010,CUST_000342,50.09,2025-06-08 09:55:37.123057,mobile,grocery,0.5686422909116764,0.04979497666039567,9,True,False,False,False,False,False,MERCH_3042
TXN_00000011,CUST_001269,38.28,2025-06-29 20:31:08.124056,online,gas,0.4633763437722867,0.04017048284314634,20,True,False,False,True,False,False,MERCH_8219
TXN_00000012,CUST_001422,40.57,2025-06-08 12:00:34.126056,mobile,electronics,0.539390429135381,0.018127154497860898,12,True,False,False,True,True,False,MERCH_9696
TXN_00000013,CUST_000383,124.63,2025-06-05 16:23:38.127056,online,gas,0.7744225833404814,0.4210133173534081,16,False,False,False,True,False,False,MERCH_6116
TXN_00000014,CUST_000927,92.8,2025-07-05 11:17:41.128057,in-store,grocery,0.9220864578125877,0.09635100464606927,11,True,False,False,False,False,False,MERCH_5467
TXN_00000015,CUST_001263,137.98,2025-06-27 10:44:26.130053,mobile,grocery,0.4227314313395034,0.10118479014161441,10,False,False,False,False,True,False,MERCH_6836
TXN_00000016,CUST_001091,84.6,2025-07-07 18:23:56.131055,online,retail,0.8323255110419426,0.08425960777327407,18,False,False,False,True,True,False,MERCH_7058
TXN_00000017,CUST_001568,6.75,2025-07-03 00:53:16.132056,mobile,gas,0.8673370244953043,0.37314351921875893,0,False,False,True,True,False,False,MERCH_2314
