customer_id,fico_score,chargeback_rate_6m,debt_to_income_ratio,credit_inquiries_30d,employment_verified,address_stable_2y,account_age_days,avg_monthly_spend,previous_chargebacks,is_potential_fraudster,created_date
CUST_000000,778,0.008491476691457745,0.44197206882887746,8,True,True,1165,924.4699877527282,3,False,2020-08-17
CUST_000001,751,0.01802425787857539,0.35008211591969257,1,True,False,359,1580.1944416430836,3,False,2024-08-04
CUST_000002,671,0.014261510996276604,0.16288194661605415,2,True,True,94,3967.588280396932,5,False,2025-05-14
CUST_000003,642,0.01845942904900176,0.47348996186419046,3,False,True,1436,753.5762848758419,4,False,2025-02-24
CUST_000004,824,0.0014315434200871712,0.051618604538182206,5,False,True,235,1143.5206478317032,5,False,2025-06-06
CUST_000005,659,0.009689826389517035,0.3523869226495323,2,True,False,1176,848.8070953761091,3,False,2023-11-04
CUST_000006,676,0.010113391580711704,0.5244303746564027,1,True,False,1527,3527.816066050798,5,False,2025-06-04
CUST_000007,756,0.016781218702636096,0.2876692875977124,5,False,True,1877,664.060425858418,3,False,2022-12-20
CUST_000008,744,0.016737430763035827,0.39069967331011807,3,True,False,135,1440.5309709701735,3,False,2022-10-28
CUST_000009,630,0.01378010105962324,0.16082997898624868,4,False,True,1426,372.6736080801692,1,False,2024-03-14
CUST_000010,745,0.017603428311660826,0.3491730737275125,1,True,True,1961,1358.195793592965,2,False,2021-09-05
CUST_000011,615,0.012604525009777028,0.4662774802789371,5,True,False,1855,208.6093235879619,2,False,2023-11-26
CUST_000012,636,0.010320104537205905,0.13617048210917115,7,True,True,111,2803.767618694771,2,False,2023-09-09
CUST_000013,694,0.006711619435129312,0.5719206327408111,8,True,True,1739,401.11607640948284,5,False,2025-01-19
CUST_000014,559,0.012651903673693978,0.19700342083187888,1,True,True,1932,2479.3482762771023,4,False,2024-09-13
CUST_000015,734,0.016128367311964386,0.3312175488570153,7,True,False,1417,3128.074074788696,3,False,2021-05-29
CUST_000016,767,0.0051279643501019176,0.18283019145248874,3,True,True,1620,2158.966133940843,3,False,2024-04-30
CUST_000017,722,0.00434400162452136,0.07449661326343499,6,True,False,661,752.4063040317674,4,False,2022-12-22
CUST_000018,710,0.003741553821034033,0.16996227997789848,4,True,True,751,1047.319830647534,2,False,2021-07-02
CUST_000019,758,0.0030023238061569696,0.17709450029551577,1,True,True,1420,1475.718078785161,2,False,2025-06-30
CUST_000020,761,0.01111764115111024,0.14038324133981667,4,False,True,684,3461.328358239584,1,False,2024-01-10
CUST_000021,637,0.011058003164446807,0.09621749905802607,0,True,True,368,3886.0093548371105,3,False,2024-03-01
CUST_000022,773,0.014666389340343946,0.3298456911391108,0,False,True,295,3929.491628502462,0,False,2025-04-04
CUST_000023,717,0.015054167591219362,0.27084809426364853,7,True,True,508,2556.1949831969287,3,False,2021-07-23
CUST_000024,674,0.006490602490873643,0.22902340845856997,0,True,True,285,3512.3802332417627,4,False,2025-06-30
CUST_000025,729,0.013274470329822582,0.3365659560250052,1,True,False,930,2453.7190879284476,0,False,2022-07-25
CUST_000026,655,0.008765034547671777,0.22536071663589552,6,True,True,1260,1673.3972896207517,2,False,2020-07-18
CUST_000027,534,0.07478157699196707,0.21715912674882196,3,True,True,765,3949.5785286409,4,True,2021-08-05
CUST_000028,747,0.015153854468531899,0.1617977359323654,5,True,True,1931,2877.009827236946,2,False,2024-08-11
CUST_000029,583,0.0027690159429545978,0.3558680270163003,1,True,True,1150,2333.8347146759893,1,False,2024-12-30
